09:20:29.650 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - HTTP/2 TLS Service: QuartzH2 (async - Java NIO)
09:20:29.657 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Concurrency level(max threads): 16, max streams per conection: 32
09:20:29.658 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - H2 Idle Timeout: 16000 Ms
09:20:29.659 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Listens: localhost:8443
09:20:53.806 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - HTTP/2 TLS Service: QuartzH2 (async - Java NIO)
09:20:53.810 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Concurrency level(max threads): 16, max streams per conection: 32
09:20:53.811 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - H2 Idle Timeout: 16000 Ms
09:20:53.812 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Listens: localhost:8443
09:21:39.702 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - HTTP/2 TLS Service: QuartzH2 (async - Java NIO)
09:21:39.706 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Concurrency level(max threads): 16, max streams per conection: 32
09:21:39.708 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - H2 Idle Timeout: 16000 Ms
09:21:39.709 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Listens: localhost:8443
09:21:47.672 [ZScheduler-Worker-15] INFO  io.quartz.QuartzH2Server.run0 - Connect from remote peer: 127.0.0.1
09:21:48.057 [ZScheduler-Worker-11] INFO  io.quartz.util.MultiPart - HTTP multipart request: processing file pics.jpeg
09:21:48.195 [ZScheduler-Worker-6] INFO  io.quartz.util.MultiPart - HTTP multipart request: processing file IMG_2964.mov
09:21:49.172 [ZScheduler-Worker-14] INFO  io.quartz.util.MultiPart - HTTP multipart request: processing file IMG_0278.jpeg
09:21:49.322 [ZScheduler-Worker-1] INFO  io.quartz.http2.Http11Connection - HTTP/1.1 connId=1 streamId=1 POST /mpart chunked=true 200
09:23:12.274 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - HTTP/2 TLS Service: QuartzH2 (async - Java NIO)
09:23:12.277 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - Concurrency level(max threads): 16, max streams per conection: 32
09:23:12.278 [zio-default-blocking-1] INFO  io.quartz.QuartzH2Server - H2 Idle Timeout: 16000 Ms
